strike,type,price
80.0,put,0.17950914715644029
82.5,put,0.2785447872626463
85.0,put,0.4258909314321899
87.5,put,0.6406017191530875
90.0,put,0.9463106264438039
92.5,put,1.3706331295366283
95.0,put,1.9435466507863808
97.5,put,2.6946427317114967
100.0,call,5.138278477695337
102.5,call,3.8516380030111748
105.0,call,2.7926412157923224
107.5,call,1.9547640721123614
110.0,call,1.3192798114316702
112.5,call,0.8581271290770527
115.0,call,0.538219623008354
117.5,call,0.32601306679081166
120.0,call,0.19121725016009883
